10.249.50.22,38ed-18b5-7d41,12,D-16,VE16/0/0.9,1015,9,CMI1-1015-0030-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI1,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.50.22
10.249.50.2,001e-589f-6fa6,6,D-16,VE16/0/0.9,1015,9,CMI1-1015-0030-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI1,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.50.2
10.249.50.62,80d4-a5ab-a0c4,I,-,VE16/0/0.9,1015,9,CMI1-1015-0030-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI1,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.50.62
10.249.50.126,80d4-a5ab-a0c4,I,-,VE16/0/0.10,1015,10,CMI1-1015-0031-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.50.126
10.249.250.254,80d4-a5ab-a0c4,I,-,VE16/0/0.10,1015,10,CMI1-1015-0031-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.250.254
10.249.250.132,000e-5e9c-2c3d,19,D-16,VE16/0/0.10,1015,10,CMI1-1015-0031-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.250.132
10.249.250.12,7072-cf9d-a494,8,D-16,VE16/0/0.10,1015,10,CMI1-1015-0031-0000,INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2,ping -vpn-instance 1015 -c 3 -m 100 -t 300 -q 10.249.250.12
172.22.50.126,80d4-a5ab-a0c4,I,-,VE16/0/0.25,1082,25,CMI1-1082-0025-0000,INTERNAL-HUBSPOKE-SPOKE-1082-RECTIFIER_CMI1,ping -vpn-instance 1082 -c 3 -m 100 -t 300 -q 172.22.50.126
192.168.150.14,0026-9986-5521,11,D-16,VE16/0/0.52,3BB-LL,52,CMI1-3BB-LL-0807-0000,EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500074,ping -vpn-instance 3BB-LL -c 3 -m 100 -t 300 -q 192.168.150.14
192.168.150.13,80d4-a5ab-a0c4,I,-,VE16/0/0.52,3BB-LL,52,CMI1-3BB-LL-0807-0000,EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500074,ping -vpn-instance 3BB-LL -c 3 -m 100 -t 300 -q 192.168.150.13
192.168.250.118,001a-2fe6-8761,1,D-16,VE16/0/0.157,3BB-LL,157,CMI1-3BB-LL-0954-0000,EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500170,ping -vpn-instance 3BB-LL -c 3 -m 100 -t 300 -q 192.168.250.118
