0025-9e92-175a,CMI1-1072-2991-0004,-,-,GE0/6/3.2991,dynamic,0/0,2991
0025-9e92-175a,CMI1-1072-2992-0004,-,-,GE0/6/3.2992,dynamic,0/0,2992
249e-ab9e-ebb0,CMI1-1072-2991-0004,-,-,GE0/6/6.2991,dynamic,0/0,2991
249e-ab9e-ebb0,CMI1-1072-2992-0004,-,-,GE0/6/6.2992,dynamic,0/0,2992
cc50-0ae6-2bb8,CMI1-1014-0410-0004,-,-,Eth-Trunk11.410,dynamic,0/0,410
286e-d46d-f8af,CMI1-1072-2991-0004,-,-,Eth-Trunk12.2991,dynamic,0/0,2991
80d4-a5ab-a0c4,CMI1-3BB-LL-3000-3080,-,-,Eth-Trunk0,dynamic,0/4096,nan
0025-9e6f-257c,CMI1-1072-2992-0004,-,-,GE0/6/5.2992,dynamic,0/0,2992
0025-9e57-b5bc,CMI1-1072-2991-0004,-,-,Eth-Trunk10.2991,dynamic,0/0,2991
0025-9e57-b5bc,CMI1-1072-2992-0004,-,-,Eth-Trunk10.2992,dynamic,0/0,2992
0025-9e6f-2580,CMI1-1072-2992-0004,-,-,GE0/6/3.2992,dynamic,0/0,2992
0025-9ea7-0f57,CMI1-1072-2991-0004,-,-,GE0/6/2.2991,dynamic,0/0,2991
0025-9ea7-0f57,CMI1-1072-2992-0004,-,-,GE0/6/2.2992,dynamic,0/0,2992
08c0-2161-c984,CMI1-1072-2991-0004,-,-,GE0/6/2.2991,dynamic,0/0,2991
9c7d-a398-589c,CMI1-1072-2991-0004,-,-,GE0/6/2.2991,dynamic,0/0,2991
cc50-0a77-69e9,CMI1-1014-0410-0004,-,-,Eth-Trunk13.410,dynamic,0/0,410
9c7d-a398-589c,CMI1-1072-2992-0004,-,-,GE0/6/2.2992,dynamic,0/0,2992
0025-9e6f-257c,CMI1-1072-2991-0004,-,-,GE0/6/5.2991,dynamic,0/0,2991
08c0-2161-c984,CMI1-1072-2992-0004,-,-,GE0/6/2.2992,dynamic,0/0,2992
0025-9e92-1600,CMI1-1072-2991-0004,-,-,GE0/6/5.2991,dynamic,0/0,2991
0025-9e92-1600,CMI1-1072-2992-0004,-,-,GE0/6/5.2992,dynamic,0/0,2992
0009-0f09-0015,CMI1-600592-0912-0000,-,-,GE0/5/1.912,dynamic,0/0,912
701f-53f1-0876,CMI1-600592-0912-0000,-,-,GE0/5/1.912,dynamic,0/0,912
44c3-46f5-3dab,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
d4ca-6d0b-5dc6,CMI1-600366-0859-0000,-,-,GE0/5/1.859,dynamic,0/0,859
001a-2fe6-8761,CMI1-3BB-LL-0954-0000,-,-,GE0/5/1.954,dynamic,0/0,954
