<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
100GE12/0/0                   up      up       BS-CMIBS07(CMI1)_link1_100GE9/1/0_PC
100GE12/0/1                   up      up       MME-4001-34(CMI)_link1_100GE0/1/0_OFC
100GE12/1/0                   up      up       MME-4001-38(CMI2)_link2_100GE0/2/0_PC
100GE12/1/1                   up      up       MME-4018-31(CMI2)_link2_100GE0/2/0_OFC
100GE13/0/0                   up      up       MME-4001-36(CMI3)_link1_100GE0/7/0_OFC
100GE13/0/1                   *down   down                                     
100GE13/1/0                   up      up       MME-4001-34(CMI)_link2_100GE0/2/0_OFC
100GE13/1/1                   up      up       BS-CMIBS07(CMI3)_link1_100GE10/1/0_PC
100GE14/0/0                   up      up       MME-4004-31(CMI3)_link1_100GE0/7/0_OFC
100GE14/0/1                   *down   down                                     
100GE14/1/0                   up      up       MME-4012-31(CMI)_link2_100GE0/2/0_OFC
100GE14/1/1                   up      up       BS-CMIBS07(CMI4)_link1_100GE11/0/0_PC
100GE15/0/0                   up      up       MP-JAS1-NE_link1_100GE15/0/0_1+1_WDM
100GE15/0/1                   up      up       MP-JAS2-NE_link2_100GE16/0/1_ASON_WDM
100GE15/1/0                   up      up       MME-4001-38(CMI2)_link1_100GE0/1/0_PC
100GE15/1/1                   up      up       BS-CMIBS07(CMI2)_link1_100GE10/0/0_PC
100GE16/0/0                   up      up       MP-JAS2-NE_link1_100GE15/0/0_1+1_WDM
100GE16/0/1                   up      up       MP-JAS1-NE_link2_100GE16/0/1_ASON_WDM
100GE16/1/0                   up      up       MME-4018-31(CMI2)_link1_100GE0/1/0_OFC
100GE16/1/1                   up      up       MME-4012-31(CMI)_link1_100GE0/1/0_OFC
Eth-Trunk1                    up      up       MP-JAS1-NE_ETH-4[200G]_WDM      
Eth-Trunk1.458                up      down     test-pppoe_yzfznh6pt1@3bb_(game_problem)
Eth-Trunk2                    up      up       MP-JAS2-NE_ETH-4[200G]_WDM      
Eth-Trunk31                   up      down     BS-CMIBS07_ETH-1[100G]_PC       
Eth-Trunk31.2                 up      up       DHCP-IPTV-VOD-CMI               
Eth-Trunk31.4                 up      down     INTERNAL-INTERNET-NAT444-IPv6   
Eth-Trunk31.6                 up      down     INTERNAL-INTERNET-ADSL-IPv6     
Eth-Trunk31.40                up      up       MNG-CMIBS07                     
Eth-Trunk31.41                up      up       VPRN-INTERNAL-3BB-ADSL          
Eth-Trunk31.43                up      up       VPRN-INTERNAL-3BB-NAT444        
Eth-Trunk31.44                up      up       VPRN-INTERNAL-3BB-AKAMAI-RO5(CMIBS07)
Eth-Trunk31.51                up      up       Ji-Net-HOME-CORP                
Eth-Trunk31.66                up      up       MITSINDUAN-CMIBS07-L2TP         
Eth-Trunk31.70                up      up       GW-HOTSPOT-PPPOE                
Eth-Trunk31.499               up      up       test-pppoe_yzfznh6pt1@3bb_(game_problem)
Eth-Trunk31.650               up      up       CMI1-HSI-0650                   
Eth-Trunk31.651               up      up       CMI1-HSI-0651                   
Eth-Trunk31.652               up      up       CMI1-HSI-0652                   
Eth-Trunk31.653               up      up       CMI1-HSI-0653                   
Eth-Trunk31.664               up      up       CMI1-HSI-0664                   
Eth-Trunk31.669               up      up       CMI1-HSI-0669                   
Eth-Trunk31.670               up      up       CMI1-HSI-0670                   
Eth-Trunk31.671               up      up       CMI1-HSI-0671                   
Eth-Trunk31.673               up      up       CMI1-HSI-0673                   
Eth-Trunk31.674               up      up       CMI1-HSI-0674                   
Eth-Trunk31.675               up      up       CMI1-HSI-0675                   
Eth-Trunk31.677               up      up       CMI3-HSI-0677                   
Eth-Trunk31.678               up      up       CMI3-HSI-0678                   
Eth-Trunk31.679               up      up       CMI3-HSI-0679                   
Eth-Trunk31.680               up      up       CMI3-HSI-0680                   
Eth-Trunk31.681               up      up       CMI3-HSI-0681                   
Eth-Trunk32                   up      down     BS-CMIBS07_ETH-2[100G]_PC       
Eth-Trunk32.4                 up      down     INTERNAL-INTERNET-NAT444-IPv6   
Eth-Trunk32.6                 up      down     INTERNAL-INTERNET-ADSL-IPv6     
Eth-Trunk32.41                up      up       VPRN-INTERNAL-3BB-ADSL          
Eth-Trunk32.43                up      up       VPRN-INTERNAL-3BB-NAT444        
Eth-Trunk32.650               up      up       CMI1-HSI-0650                   
